equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:22 +0800] "GET /chat HTTP/1.1" 200 34250 "http://10.168.93.93:5020/index" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:23,117] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: GP0N6HUUd-8ZZtohAAAB)
equipment-management-system  | [2025-12-22 07:59:23,122] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: EtQSTc3JHUb48K5cAAAD)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:23 +0800] "GET /api/chat/conversations HTTP/1.1" 200 1200 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:26,730] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_2
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:26 +0800] "GET /api/chat/conversations/2/messages HTTP/1.1" 200 421 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:30,098] INFO in socketio_handler: 用户 admin 离开会话房间: conversation_2
equipment-management-system  | [2025-12-22 07:59:30,100] INFO in socketio_handler: 用户 admin 加入会话房间: conversation_3
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:30 +0800] "GET /api/chat/conversations/3/messages HTTP/1.1" 200 11022 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 127.0.0.1 - - [22/Dec/2025:07:59:34 +0800] "GET /auth/login HTTP/1.1" 200 16564 "-" "curl/8.14.1"
equipment-management-system  | [2025-12-22 07:59:53,516] INFO in socketio_handler: ✗ 用户断开: admin (ID: 7)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:53 +0800] "GET /chat/admin HTTP/1.1" 200 36750 "http://10.168.93.93:5020/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:53 +0800] "GET /api/chat/admin/users/chat-active HTTP/1.1" 200 472 "http://10.168.93.93:5020/chat/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | [2025-12-22 07:59:53,626] INFO in socketio_handler: ✓ 用户连接: admin (ID: 7, SID: ODkkLVfe9u5GNZcBAAAF)
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:53 +0800] "GET /api/chat/admin/conversations?page=1&per_page=20 HTTP/1.1" 200 690 "http://10.168.93.93:5020/chat/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
equipment-management-system  | 172.19.0.1 - - [22/Dec/2025:07:59:53 +0800] "GET /api/chat/admin/statistics HTTP/1.1" 200 653 "http://10.168.93.93:5020/chat/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"
